Sucursal,EstudioModalidad,Probabilidad
CULIACAN UNIVERSITARIOS,LABORATORIO,0.40498132938525183
CULIACAN UNIVERSITARIOS,RAYOS X,0.15337546910798036
CULIACAN UNIVERSITARIOS,OPTOMETRIA,0.1448202514090809
CULIACAN UNIVERSITARIOS,ULTRASONIDO,0.1266790668909327
CULIACAN UNIVERSITARIOS,DENSITOMETRIA,0.05473277829054944
CULIACAN UNIVERSITARIOS,ELECTROCARDIOGRAMA,0.05174360584153639
CULIACAN UNIVERSITARIOS,MASTOGRAFIA,0.02710870186518739
CULIACAN UNIVERSITARIOS,PAPANICOLAOU,0.025665653096698327
CULIACAN UNIVERSITARIOS,NUTRICION,0.010893144112782695
CULIACAN NAKAYAMA,LABORATORIO,0.585604369787384
CULIACAN NAKAYAMA,ULTRASONIDO,0.1637936097732879
CULIACAN NAKAYAMA,OPTOMETRIA,0.15366204628215668
CULIACAN NAKAYAMA,ELECTROCARDIOGRAMA,0.07632444496652178
CULIACAN NAKAYAMA,PAPANICOLAOU,0.020615529190649597
CULIACAN LAS TORRES,LABORATORIO,0.39831933842509026
CULIACAN LAS TORRES,RAYOS X,0.18245698129935245
CULIACAN LAS TORRES,ULTRASONIDO,0.1361666747970756
CULIACAN LAS TORRES,OPTOMETRIA,0.1185095475745576
CULIACAN LAS TORRES,NUTRICION,0.08225357967765402
CULIACAN LAS TORRES,ELECTROCARDIOGRAMA,0.06585631234344544
CULIACAN LAS TORRES,PAPANICOLAOU,0.016437565882824544
CULIACAN LA CONQUISTA,LABORATORIO,0.6459137935894906
CULIACAN LA CONQUISTA,ULTRASONIDO,0.16491416006540185
CULIACAN LA CONQUISTA,OPTOMETRIA,0.12650466552025486
CULIACAN LA CONQUISTA,ELECTROCARDIOGRAMA,0.041045302060722245
CULIACAN LA CONQUISTA,PAPANICOLAOU,0.021622078764130463
CULIACAN COLEGIO MILITAR,LABORATORIO,0.3783665300809414
CULIACAN COLEGIO MILITAR,ULTRASONIDO,0.15908363184129276
CULIACAN COLEGIO MILITAR,OPTOMETRIA,0.12938802056425144
CULIACAN COLEGIO MILITAR,RAYOS X,0.12272165884899727
CULIACAN COLEGIO MILITAR,DENSITOMETRIA,0.05787614034607032
CULIACAN COLEGIO MILITAR,TOMOGRAFIA,0.04494743883769859
CULIACAN COLEGIO MILITAR,ELECTROCARDIOGRAMA,0.041412247019003194
CULIACAN COLEGIO MILITAR,MASTOGRAFIA,0.024401530918009787
CULIACAN COLEGIO MILITAR,PAPANICOLAOU,0.023433271483923757
CULIACAN COLEGIO MILITAR,RESONANCIA MAGNETICA,0.018369530059811498
CULIACAN CAÑADAS,LABORATORIO,0.357125775965145
CULIACAN CAÑADAS,ULTRASONIDO,0.14300361980574255
CULIACAN CAÑADAS,OPTOMETRIA,0.13934122811327862
CULIACAN CAÑADAS,RAYOS X,0.13039817863168068
CULIACAN CAÑADAS,DENSITOMETRIA,0.07708056934139192
CULIACAN CAÑADAS,NUTRICION,0.061235320131688864
CULIACAN CAÑADAS,ELECTROCARDIOGRAMA,0.049570045698000095
CULIACAN CAÑADAS,MASTOGRAFIA,0.02316675675232994
CULIACAN CAÑADAS,PAPANICOLAOU,0.019078505560742306
CULIACAN,LABORATORIO,0.2558376633079808
CULIACAN,OPTOMETRIA,0.19577286028005653
CULIACAN,ULTRASONIDO,0.15485199903911448
CULIACAN,RAYOS X,0.11217581935352076
CULIACAN,NUTRICION,0.058638606791644836
CULIACAN,DENSITOMETRIA,0.058364338284668006
CULIACAN,ELECTROCARDIOGRAMA,0.04881979424187456
CULIACAN,TOMOGRAFIA,0.03852432194204801
CULIACAN,MASTOGRAFIA,0.0293467302465201
CULIACAN,PAPANICOLAOU,0.024080774912565092
CULIACAN,RESONANCIA MAGNETICA,0.02358709160000681
COYOACAN,LABORATORIO,0.3663732202086775
COYOACAN,RAYOS X,0.13232007306206234
COYOACAN,ULTRASONIDO,0.13117976827562008
COYOACAN,OPTOMETRIA,0.11295725060992547
COYOACAN,DENSITOMETRIA,0.0664283435396058
COYOACAN,ELECTROCARDIOGRAMA,0.06101748553335047
COYOACAN,MASTOGRAFIA,0.03170494484657053
COYOACAN,PAPANICOLAOU,0.028284030487243806
COYOACAN,NUTRICION,0.028124938190492818
COYOACAN,RESONANCIA MAGNETICA,0.021263330429540598
COYOACAN,TOMOGRAFIA,0.020346614816910562
