Sucursal,CantidadEstudios,NumPacientes
COYOACAN,1,13646
COYOACAN,2,5457
COYOACAN,3,2331
COYOACAN,4,1024
COYOACAN,5,395
COYOACAN,6,177
COYOACAN,7,75
COYOACAN,8,22
COYOACAN,9,8
COYOACAN,10,1
CULIACAN,1,5970
CULIACAN,2,2031
CULIACAN,3,773
CULIACAN,4,331
CULIACAN,5,112
CULIACAN,6,43
CULIACAN,7,14
CULIACAN,8,2
CULIACAN,9,1
CULIACAN CAÑADAS,1,4091
CULIACAN CAÑADAS,2,1432
CULIACAN CAÑADAS,3,533
CULIACAN CAÑADAS,4,202
CULIACAN CAÑADAS,5,80
CULIACAN CAÑADAS,6,27
CULIACAN CAÑADAS,7,7
CULIACAN CAÑADAS,8,2
CULIACAN COLEGIO MILITAR,1,3972
CULIACAN COLEGIO MILITAR,2,1192
CULIACAN COLEGIO MILITAR,3,396
CULIACAN COLEGIO MILITAR,4,168
CULIACAN COLEGIO MILITAR,5,43
CULIACAN COLEGIO MILITAR,6,18
CULIACAN COLEGIO MILITAR,7,5
CULIACAN COLEGIO MILITAR,8,3
CULIACAN LA CONQUISTA,1,1587
CULIACAN LA CONQUISTA,2,319
CULIACAN LA CONQUISTA,3,70
CULIACAN LA CONQUISTA,4,8
CULIACAN LA CONQUISTA,5,1
CULIACAN LAS TORRES,1,2248
CULIACAN LAS TORRES,2,852
CULIACAN LAS TORRES,3,253
CULIACAN LAS TORRES,4,87
CULIACAN LAS TORRES,5,23
CULIACAN LAS TORRES,6,10
CULIACAN LAS TORRES,7,1
CULIACAN LAS TORRES,8,1
CULIACAN NAKAYAMA,1,1241
CULIACAN NAKAYAMA,2,408
CULIACAN NAKAYAMA,3,102
CULIACAN NAKAYAMA,4,20
CULIACAN NAKAYAMA,5,10
CULIACAN NAKAYAMA,6,1
CULIACAN UNIVERSITARIOS,1,3776
CULIACAN UNIVERSITARIOS,2,1079
CULIACAN UNIVERSITARIOS,3,403
CULIACAN UNIVERSITARIOS,4,155
CULIACAN UNIVERSITARIOS,5,62
CULIACAN UNIVERSITARIOS,6,22
CULIACAN UNIVERSITARIOS,7,6
CULIACAN UNIVERSITARIOS,8,1
CULIACAN UNIVERSITARIOS,10,1
